ICAO, Registration, Model, Aircraft Type
c058b4,C-GHPJ,A321,L2J
a845f4,N632JB,A320,L2J
c06363,C-GLQO,DH8D,L2T
a8c121,N663UA,B763,L2J
c04599,C-GAJG,B763,L2J
c055f5,C-GGOI,DH8D,L2T
c051cc,C-GEZJ,A321,L2J
c0635c,C-GLQH,DH8D,L2T
43e91c,M-RISE,B752,L2J
c02028,C-FMEP,B752,L2J
c08857,C-GZQK,E295,No
c01755,C-FIVS,B77W,L2J
c06a5f,C-GOHI,PC12,L1T
abc29a,N857NW,A332,L2J
c073f1,C-GRXO,PC12,L1T
c03064,C-FSIL,B38M,L2J
c06c53,C-GPAO,DH8D,L2T
c06360,C-GLQL,DH8D,L2T
c04850,C-GBJZ,DH8D,L2T
040049,ET-AOS,B788,L2J
8004de,VT-ALP,B77W,L2J
c07b0a,C-GUPL,BCS3,L2J
c080db,C-GWUS,BCS3,L2J
c04049,C-FYIY,A319,L2J
c048a3,C-GBNE,C560,L2J
c035bf,C-FUJE,E75S,No
c051e2,C-GFAF,A333,L2J
a6898d,N520GJ,CRJ7,L2J
c0636a,C-GLQV,DH8D,L2T
c0541c,C-GFWD,CL60,L2J
c053b4,C-GFSD,C25B,L2J
c080d9,C-GWUQ,BCS3,L2J
c08863,C-GZQW,E295,No
c05eb7,C-GJWO,A321,L2J
c00b7b,C-FEJA,CRJ2,L2J
c05d08,C-GJFZ,CRJ9,L2J
c058ae,C-GHPD,A321,L2J
c00e5c,C-FFLJ,B738,L2J
c06cd9,C-GPFS,M20P,L1P
a7f445,N611UP,B748,L4J
c060b4,C-GKQD,DH8D,L2T
c07120,C-GQVV,C172,L1P
c05c7a,C-GJAN,CRJ9,L2J
c05e8e,C-GJUZ,CRJ9,L2J
a1a2a2,N204UA,B772,L2J
c064d8,C-GMEX,B38M,L2J
4d23e9,9H-CHI,B38M,L2J
c0326d,C-FTCM,P28R,L1P
c023ae,C-FNNH,B77L,L2J
c060c8,C-GKQX,E295,No
c00d9e,C-FFEB,P28A,L1P
c04129,C-FYRO,R44,H1P
c00b86,C-FEJL,E75S,No
c07e62,C-GVWJ,B737,L2J
c08497,C-GYFM,A321,L2J
c06d48,C-GPJZ,CRJ9,L2J
c0404f,C-FYJE,A319,L2J
c0635a,C-GLQF,DH8D,L2T
c05f93,C-GKFA,A321,L2J
c060ba,C-GKQJ,E295,No
89618e,A6-EEO,A388,L4J
aaf5b1,N805NW,A333,L2J
